fecha,estacion,lat,lon,comuna,pm25,pm10,o3
2022-01-01,Museo de Antioquia,6.2518,-75.5636,La Candelaria,28.97,50.77,49.72
2022-01-02,Museo de Antioquia,6.2518,-75.5636,La Candelaria,37.18,64.59,36.49
2022-01-03,Museo de Antioquia,6.2518,-75.5636,La Candelaria,37.63,75.42,32.96
2022-01-04,Museo de Antioquia,6.2518,-75.5636,La Candelaria,29.34,48.18,33.01
2022-01-05,Museo de Antioquia,6.2518,-75.5636,La Candelaria,26.94,29.35,14.13
2022-01-06,Museo de Antioquia,6.2518,-75.5636,La Candelaria,20.5,26.77,44.71
2022-01-07,Museo de Antioquia,6.2518,-75.5636,La Candelaria,17.74,17.8,61.98
2022-01-08,Museo de Antioquia,6.2518,-75.5636,La Candelaria,23.19,42.42,18.63
2022-01-09,Museo de Antioquia,6.2518,-75.5636,La Candelaria,20.64,38.27,22.74
2022-01-10,Museo de Antioquia,6.2518,-75.5636,La Candelaria,28.01,44.4,35.62
2022-01-11,Museo de Antioquia,6.2518,-75.5636,La Candelaria,20.19,54.86,39.8
2022-01-12,Museo de Antioquia,6.2518,-75.5636,La Candelaria,16.54,37.99,21.69
2022-01-13,Museo de Antioquia,6.2518,-75.5636,La Candelaria,26.67,28.41,20.08
2022-01-14,Museo de Antioquia,6.2518,-75.5636,La Candelaria,26.57,55.22,42.57
2022-01-15,Museo de Antioquia,6.2518,-75.5636,La Candelaria,24.07,40.32,17.82
2022-01-16,Museo de Antioquia,6.2518,-75.5636,La Candelaria,19.24,30.03,55.86
2022-01-17,Museo de Antioquia,6.2518,-75.5636,La Candelaria,27.75,32.32,44.86
2022-01-18,Museo de Antioquia,6.2518,-75.5636,La Candelaria,21.92,32.69,49.18
2022-01-19,Museo de Antioquia,6.2518,-75.5636,La Candelaria,33.25,69.16,27.41
2022-01-20,Museo de Antioquia,6.2518,-75.5636,La Candelaria,22.53,43.86,54.63
2022-01-21,Museo de Antioquia,6.2518,-75.5636,La Candelaria,21.17,36.24,23.4
2022-01-22,Museo de Antioquia,6.2518,-75.5636,La Candelaria,15.43,35.9,60.34
2022-01-23,Museo de Antioquia,6.2518,-75.5636,La Candelaria,24.42,54.0,45.42
2022-01-24,Museo de Antioquia,6.2518,-75.5636,La Candelaria,19.84,39.32,63.07
2022-01-25,Museo de Antioquia,6.2518,-75.5636,La Candelaria,24.71,60.13,0.7
2022-01-26,Museo de Antioquia,6.2518,-75.5636,La Candelaria,31.58,57.71,35.51
2022-01-27,Museo de Antioquia,6.2518,-75.5636,La Candelaria,25.73,26.45,36.7
2022-01-28,Museo de Antioquia,6.2518,-75.5636,La Candelaria,27.86,64.92,32.23
2022-01-29,Museo de Antioquia,6.2518,-75.5636,La Candelaria,18.53,28.34,53.73
2022-01-30,Museo de Antioquia,6.2518,-75.5636,La Candelaria,27.63,44.44,47.7
